tweets,label
"@caprichOreality Fica assim não miga &lt;3 Tudo se arranja, que seja o que Deus quiser :)",1
"Amanhã é dia de dar um trato na palestra para o  #TheDevConf, ajustes finais :-)",1
@thankovsky @patorebaichado eu também tenho :) posso sentar com vocês?,1
@JoseAbrantes6 Prefiro amar o meu clube nas vitórias e ainda mais quando nao ganhamos :) SL,1
@Bel_Reedus Recomendamos que vá até uma loja Claro. Acesse o site https://t.co/PfmtRZQ0od  e confira qual a loja mais próxima pra você! :),1
"@CrizArtEX @_GlitchMC @SirZeusMCPE @cesargohanss2 :)
Muito feliz por fazer parte dessa lista
Espero que a cada dia… https://t.co/mlAbPonv0R",1
"@peace2who jbg, sad ce ispasti da sam tracara :)",1
@pudimparfait BEM VINDA AO CLUBE :),1
@gabbs_f05 Melhor bum... Personagem do game :),1
Finalmente sou o meu true self fartei-me das bolas :),1
"Já me começaram a cair lágrimas, boa. :)",1
@brozao_6 @bah2310 @CarolinaMoutin Fofo es tu princesa :),1
como você também não é obrigado a achar meus ídolos lindos!! mas todos são merecidos de estar aonde estão agora :),1
@DuDuarte11 @diinhaa28 hahaha muito obrigado!! ♥ :),1
todo mundo que fez bullying comigo virou otaku nerd :),1
To tri feliz! Me dei uma cafeteira de presente :),1
"@RafaelalveSilva mas o senhor sumiu no segundo tempo...veio zoar no final do primeiro, e picou a mula! :)",1
"@asulado aqui gostam mais de pevides, mas o mano hoje comprou e eu é que comi o que ficou :)",1
@LuckyTiago já ta com vergonha deles.. se sim venci mais uma batalha fazer um petista odiar o pt e o negar publicamente :),1
"Acordei só pra postar esse textão, que começou no meu Twitter e acabou no blog. Bora discutir sobre! :) https://t.co/vjEjaNddO4",1
Adoro ficar para segunda opção :),1
Sou a solidão em pessoa :) https://t.co/MxMFZOx2i7,1
"Partiu pegar estrada :)
#BomFeriadão",1
Festejando :) (@ COMICX in Durango w/ @dave_sepco7) https://t.co/wn67y8Ltnq,1
@cellbinhalover foi no mercado livre amor :),1
Ajudem o men o pt god que esta quase a kitar um dos melhored hgzeiros :) https://t.co/o4NNxjfiFI,1
Vcs tiram me a paciência muito rápido :),1
Me respondeu :) tinha saído,1
@PikawChan Conversa bem saudavel :),1
"Neste momento se sorrir, os meus lábios ""estalam"" e abrem-se com pequenos cortes :)",1
gente não é pq o time que eu torço perdeu que vou deixar de torcer por ele SEMPRE :),1
@fairywonwoo entao gasta o dinheiro e fica sem album :),1
@rui_carvalho_7 Tou sem energia :),1
Olha q lol :),1
Acho que vou fazer a única coisa que deixa um homem dono de casa realmente feliz : lavar a louça do almoço :),1
"E por ultimo, tenho os 100 votos prontos, se quiserem é só chamar na DM :) 
~Ko",1
@Kelsblells @piratechristoph As do I. :-),1
"@anasofiasd Obg, digo o mesmo :)",1
"SERÁ QUE acumula?

Ainda faltam 2 jogos :) https://t.co/4O4RWo3v9U",1
@Purpotimex nem eu kkkjk enfim nao precisa mais :),1
"@misshomicidal @AhNegao Chame de Felipe Joe ou Joe Felipe, assim suas noites de sono são garantidas :)",1
@asulado eheh já experimentaste com alho em pó? É bom :),1
@nathymdc @NathiSmiith De nada :),1
"@kikaaaa05 AHAHAah vem cá a baixo q eu explico-te, n chores :)",1
ainda existe.... :) https://t.co/rguxzquOJL,1
"Vem que tem :) dá RT ajuda eu 

#SertanejoNaHd @Habbid https://t.co/oGDBeeBO5S
Bonitinho-nub https://t.co/oXiMWuPBhw",1
"Esses amigos q não me procura quando tá em unai, corta aq :)",1
"@jovenzandu obg cara. tava procurando saber como faz intro 3d, faz tempo :)",1
"É o que temos para esta noite :)
#Quadrinhos @ Priscilla Escóssia Arquitetura e Interiores https://t.co/aXy8UB07bE",1
Reminder for @Hotsammysliz @MsMarvel1987 @DesolarTV aka Pizza Connoisseurs :) https://t.co/513lgQiivD,1
Boa noite para vocês :) — feeling good,1
"Enfim, fica como experiência pro próximo ano :)",1
"Yh eu vivo lá ao pé, agr pensa :) https://t.co/SNjBLcA4lM",1
@felipeneto REAGE A LARRY E VEJA QUAL O SIGNIFICADO VERDADEIRO DE ALMAS GÊMEAS :),1
Wow. Deu vontade de rever. Amava. :) https://t.co/3v6C0ix85S,1
"@indiposamigos dito por ti não é bonito :) 
e com esta me retiro",1
LOL JÁ NÃO VOU A PORTUGAL :),1
@iMandyCandy vi seus últimos vídeos e preciso te dizer: vc ficou linda ruiva! Arrasou! Os temas dos vídeos estão 10! Continue assim! :),1
Bem vinda :) @ImTheKingJJ_,1
Amanhã é segunda e pela primeira vez não estou ligando :),1
#NowWatching Colossal. @Arielrocks5 :),1
@ricardopn84 e não vamos confia :),1
@itsmeERROR é preciso também é um €€ para investir no inicio :),1
"@autrecyntia vi não, fale-me mais sobre. :)",1
"A nadie le interesa, morra :)",1
"@marcospauloxp N, obg :)",1
@carlacoutinho @justplay Obaaa. Fechado! Assim que acabar o Encontro me avisa que combinamos. :),1
